Ne	Gen_time	decline	f0	sel_s	n_out_composite	n_out_fst	n_out_taj	n_sel_out_composite	n_sel_out_fst	n_sel_out_taj	power_composite	power_fst	power_taj
50000	15	1	0	0.1	103	103	103	3	2	2	0.02912621359223301	0.019417475728155338	0.019417475728155338
50000	15	1	0	0.2	103	103	103	1	1	1	0.009708737864077669	0.009708737864077669	0.009708737864077669
50000	15	1	0	0.3	103	103	103	2	3	2	0.019417475728155338	0.02912621359223301	0.019417475728155338
50000	15	1	0	0.4	103	103	103	3	5	2	0.02912621359223301	0.04854368932038835	0.019417475728155338
50000	15	1	0	0.5	103	103	103	5	5	1	0.04854368932038835	0.04854368932038835	0.009708737864077669
100000	5	0.8	0	0.01	103	103	103	1	0	1	0.009708737864077669	0	0.009708737864077669
100000	5	0.8	0	0.05	103	103	103	1	2	1	0.009708737864077669	0.019417475728155338	0.009708737864077669
100000	5	0.8	0	0.1	103	103	103	0	2	0	0	0.019417475728155338	0
100000	5	0.8	0	0.2	103	103	103	0	0	2	0	0	0.019417475728155338
100000	5	0.8	0	0.3	103	103	103	3	4	2	0.02912621359223301	0.038834951456310676	0.019417475728155338
100000	5	0.8	0	0.4	103	103	103	1	2	1	0.009708737864077669	0.019417475728155338	0.009708737864077669
100000	5	0.8	0	0.5	103	103	103	0	1	3	0	0.009708737864077669	0.02912621359223301
100000	5	1	0	0.01	103	103	103	0	0	0	0	0	0
100000	5	1	0	0.05	103	103	103	1	1	2	0.009708737864077669	0.009708737864077669	0.019417475728155338
100000	5	1	0	0.1	103	103	103	0	0	1	0	0	0.009708737864077669
100000	5	1	0	0.2	103	103	103	0	0	1	0	0	0.009708737864077669
100000	5	1	0	0.3	103	103	103	2	0	3	0.019417475728155338	0	0.02912621359223301
100000	5	1	0	0.4	103	103	103	2	1	3	0.019417475728155338	0.009708737864077669	0.02912621359223301
100000	5	1	0	0.5	103	103	103	1	1	1	0.009708737864077669	0.009708737864077669	0.009708737864077669
100000	15	0.8	0	0.01	103	103	103	0	0	3	0	0	0.02912621359223301
100000	15	0.8	0	0.05	103	103	103	0	0	1	0	0	0.009708737864077669
100000	15	0.8	0	0.1	103	103	103	3	1	1	0.02912621359223301	0.009708737864077669	0.009708737864077669
100000	15	0.8	0	0.2	103	103	103	1	0	2	0.009708737864077669	0	0.019417475728155338
100000	15	0.8	0	0.3	103	103	103	1	2	3	0.009708737864077669	0.019417475728155338	0.02912621359223301
100000	15	0.8	0	0.4	103	103	103	3	3	1	0.02912621359223301	0.02912621359223301	0.009708737864077669
100000	15	0.8	0	0.5	103	103	103	6	2	2	0.05825242718446602	0.019417475728155338	0.019417475728155338
100000	15	1	0	0.01	103	103	103	4	1	1	0.038834951456310676	0.009708737864077669	0.009708737864077669
100000	15	1	0	0.05	103	103	103	1	3	3	0.009708737864077669	0.02912621359223301	0.02912621359223301
100000	15	1	0	0.1	103	103	103	1	1	0	0.009708737864077669	0.009708737864077669	0
100000	15	1	0	0.2	103	103	103	1	2	1	0.009708737864077669	0.019417475728155338	0.009708737864077669
100000	15	1	0	0.3	103	103	103	5	2	2	0.04854368932038835	0.019417475728155338	0.019417475728155338
100000	15	1	0	0.4	103	103	103	0	4	0	0	0.038834951456310676	0
100000	15	1	0	0.5	103	103	103	4	4	0	0.038834951456310676	0.038834951456310676	0
